ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10776695,HZ543234,12/01/2016 12:00:00 AM,012XX W GRACE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1923,019,44,6,14,,,2016,12/08/2016 03:55:45 PM,,,
10774757,HZ540108,12/01/2016 12:00:00 AM,011XX N HOWE ST,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,1822,018,27,8,06,1171780,1908001,2016,12/08/2016 03:55:45 PM,41.903013579,-87.644456722,"(41.903013579, -87.644456722)"
10771987,HZ537398,12/01/2016 12:00:00 AM,036XX W FLOURNOY ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,true,1133,011,24,27,07,1152232,1896783,2016,12/08/2016 03:55:45 PM,41.872638542,-87.716556677,"(41.872638542, -87.716556677)"
10771468,HZ536986,12/01/2016 12:00:00 AM,084XX S KENNETH AVE,0810,THEFT,OVER $500,STREET,false,false,0834,008,18,70,06,1148223,1848277,2016,12/08/2016 03:55:45 PM,41.739608919,-87.732520588,"(41.739608919, -87.732520588)"
10770887,HZ536388,12/01/2016 12:00:00 AM,030XX N SAYRE AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,2511,025,36,18,06,1129052,1919628,2016,12/08/2016 03:55:45 PM,41.935753851,-87.80114211,"(41.935753851, -87.80114211)"
10770810,HZ535848,12/01/2016 12:00:00 AM,071XX N OTTAWA AVE,0820,THEFT,$500 AND UNDER,OTHER,false,false,1611,016,41,9,06,1124419,1946765,2016,12/08/2016 03:55:45 PM,42.010298422,-87.817568682,"(42.010298422, -87.817568682)"
10770781,HZ536212,12/01/2016 12:00:00 AM,037XX S WOLCOTT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0912,009,11,59,14,1164301,1879970,2016,12/08/2016 03:55:45 PM,41.826255505,-87.672720743,"(41.826255505, -87.672720743)"
10770375,HZ535730,12/01/2016 12:00:00 AM,048XX W SUPERIOR ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1531,015,28,25,14,1144006,1904527,2016,12/08/2016 03:55:45 PM,41.894047236,-87.746563974,"(41.894047236, -87.746563974)"
10769998,HZ535419,12/01/2016 12:00:00 AM,064XX S MARYLAND AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0312,003,20,42,05,1183004,1862534,2016,12/08/2016 03:55:45 PM,41.777994582,-87.604646278,"(41.777994582, -87.604646278)"
10772513,HZ538241,12/01/2016 12:01:00 AM,037XX S UNION AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0915,009,11,60,06,1172247,1880166,2016,12/08/2016 03:55:45 PM,41.826621985,-87.643562849,"(41.826621985, -87.643562849)"
10770796,HZ536285,12/01/2016 12:01:00 AM,016XX W MADISON ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,false,false,1224,012,2,28,11,1165476,1900090,2016,12/08/2016 03:55:45 PM,41.881441785,-87.667837814,"(41.881441785, -87.667837814)"
10770324,HZ535664,12/01/2016 12:01:00 AM,015XX W JARVIS AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,2423,024,49,1,06,1164769,1949132,2016,12/08/2016 03:55:45 PM,42.016030425,-87.66903815,"(42.016030425, -87.66903815)"
10769960,HZ535395,12/01/2016 12:05:00 AM,063XX N WESTERN AVE,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,ALLEY,false,false,2413,024,50,2,26,1159169,1941977,2016,12/08/2016 03:55:45 PM,41.996514283,-87.689842306,"(41.996514283, -87.689842306)"
