Community Name,PROPERTY,QUALITY OF LIFE,VIOLENT
Albany Park,0.4321313679358525,0.13444087002448746,0.31209487684256015
Archer Heights,0.21606568396792625,0.06722043501224373,0.06722043501224373
Armour Square,0.13924232966821914,0.024007298218658473,0.19685984539299947
Ashburn,0.4993518029480962,0.21126422432419456,0.3313007154174869
Auburn Gresham,0.7154174869160225,0.5233591011667547,1.0947327987708264
Austin,1.5652758438565324,1.3396072406011428,2.079032025735824
Avalon Park,0.14404378931195083,0.09122773323090219,0.18245546646180438
Avondale,0.38891823114226726,0.0816248139434388,0.1776540068180727
Belmont Cragin,0.6193882940413886,0.2592788207615115,0.6241897536851203
Beverly,0.18725692610553607,0.06722043501224373,0.057617515724780334
Bridgeport,0.20166130503673116,0.0816248139434388,0.14404378931195083
Brighton Park,0.24487444183031642,0.15844816824314592,0.36491093292360877
Burnside,0.048014596437316946,0.048014596437316946,0.033610217506121864
Calumet Heights,0.172852547174341,0.057617515724780334,0.15844816824314592
Chatham,0.7922408412157296,0.28328611898017,0.7538291640658761
Chicago Lawn,0.6481970519037787,0.3553080136361454,0.7634320833533395
Clearing,0.07682335429970712,0.057617515724780334,0.07202189465597542
Douglas,0.39852115042973063,0.12963941038075574,0.3553080136361454
Dunning,0.2640802804052432,0.06241897536851203,0.19205838574926778
East Garfield Park,0.3313007154174869,0.41292552936092575,0.6337926729725837
East Side,0.10563211216209728,0.10563211216209728,0.1632496278868776
Edgewater,0.28328611898017,0.06722043501224373,0.24487444183031642
Edison Park,0.057617515724780334,0.00960291928746339,0.033610217506121864
Englewood,0.36971239256734045,0.32169779613002353,0.8930714937340951
Forest Glen,0.12963941038075574,0.033610217506121864,0.03841167714985356
Fuller Park,0.13444087002448746,0.024007298218658473,0.11043357180582897
Gage Park,0.29288903826763335,0.12003649109329236,0.41292552936092575
Garfield Ridge,0.31209487684256015,0.13444087002448746,0.1680510875306093
Grand Boulevard,0.38411677149853557,0.15844816824314592,0.4273299082921208
Greater Grand Crossing,0.5617707783166083,0.5281605608104863,0.9891006866087291
Hegewisch,0.07202189465597542,0.024007298218658473,0.0816248139434388
Hermosa,0.22566860325538965,0.057617515724780334,0.14884524895568252
Humboldt Park,0.864262735871705,0.5377634800979498,1.0419167426897777
Hyde Park,0.4321313679358525,0.13444087002448746,0.172852547174341
Irving Park,0.4609401257982427,0.19205838574926778,0.28328611898017
Jefferson Park,0.21606568396792625,0.07682335429970712,0.10083065251836558
Kenwood,0.19685984539299947,0.07682335429970712,0.19205838574926778
Lake View,1.0899313391270946,0.29288903826763335,0.5137561818792913
Lincoln Park,0.9987036058961924,0.20646276468046287,0.1776540068180727
Lincoln Square,0.31689633648629184,0.07682335429970712,0.1632496278868776
Logan Square,1.0131079848273876,0.2592788207615115,0.46574158544197436
Loop,1.963796994286263,0.1680510875306093,0.580976616891535
Lower West Side,0.3313007154174869,0.1680510875306093,0.29288903826763335
McKinley Park,0.10563211216209728,0.07202189465597542,0.13444087002448746
Montclare,0.13444087002448746,0.024007298218658473,0.07682335429970712
Morgan Park,0.31209487684256015,0.2400729821865847,0.22086714361165793
Mount Greenwood,0.12963941038075574,0.04321313679358525,0.04321313679358525
Near North Side,2.021414510011043,0.28808757862390166,0.7682335429970711
Near South Side,0.31689633648629184,0.05281605608104864,0.22086714361165793
Near West Side,1.949392615355068,0.628991213328852,0.8066452201469246
New City,0.532962020454218,0.2592788207615115,0.7250204062034858
North Center,0.29288903826763335,0.07202189465597542,0.10083065251836558
North Lawndale,0.7202189465597542,0.7730350026408028,1.3107984827387527
North Park,0.15844816824314592,0.05281605608104864,0.05281605608104864
Norwood Park,0.22566860325538965,0.033610217506121864,0.11523503144956067
O'Hare,0.29288903826763335,0.048014596437316946,0.11043357180582897
Oakland,0.09122773323090219,0.00960291928746339,0.057617515724780334
Portage Park,0.456138666154511,0.172852547174341,0.2592788207615115
Pullman,0.14404378931195083,0.057617515724780334,0.15844816824314592
Riverdale,0.11523503144956067,0.0816248139434388,0.2688817400489749
Rogers Park,0.47054304508570605,0.18725692610553607,0.456138666154511
Roseland,0.7298218658472175,0.48494742401690116,1.1043357180582898
South Chicago,0.44653574686704756,0.2688817400489749,0.7442262447784126
South Deering,0.20646276468046287,0.15364670859941423,0.22566860325538965
South Lawndale,0.4801459643731694,0.24487444183031642,0.6097853747539252
South Shore,0.9410860901714121,0.4609401257982427,1.3876218370384596
Uptown,0.4369328275795842,0.15844816824314592,0.44653574686704756
Washington Heights,0.29769049791136504,0.18725692610553607,0.36491093292360877
Washington Park,0.2736831996927066,0.15844816824314592,0.44173428722331587
West Elsdon,0.14884524895568252,0.06722043501224373,0.13444087002448746
West Englewood,0.6626014308349738,0.408124069717194,0.9987036058961924
West Garfield Park,0.3601094732798771,0.5137561818792913,0.7682335429970711
West Lawn,0.28328611898017,0.10563211216209728,0.20646276468046287
West Pullman,0.36971239256734045,0.23527152254285302,0.5233591011667547
West Ridge,0.5569693186728766,0.2736831996927066,0.38411677149853557
West Town,1.8437605031929707,0.456138666154511,0.6770058097661689
Woodlawn,0.3264992557737552,0.21126422432419456,0.4609401257982427
