Community Name,CRIMINAL DAMAGE,NARCOTICS,PROSTITUTION
Albany Park,0.12963941038075574,0.004801459643731695,0.0
Archer Heights,0.057617515724780334,0.00960291928746339,0.0
Armour Square,0.014404378931195084,0.00960291928746339,0.0
Ashburn,0.20646276468046287,0.004801459643731695,0.0
Auburn Gresham,0.4513372065107793,0.06722043501224373,0.004801459643731695
Austin,0.7394247851346809,0.47054304508570605,0.12963941038075574
Avalon Park,0.0816248139434388,0.00960291928746339,0.0
Avondale,0.07202189465597542,0.00960291928746339,0.0
Belmont Cragin,0.23047006289912134,0.028808757862390167,0.0
Beverly,0.06722043501224373,0.0,0.0
Bridgeport,0.07202189465597542,0.00960291928746339,0.0
Brighton Park,0.15844816824314592,0.0,0.0
Burnside,0.048014596437316946,0.0,0.0
Calumet Heights,0.05281605608104864,0.004801459643731695,0.0
Chatham,0.24487444183031642,0.03841167714985356,0.0
Chicago Lawn,0.30729341719882847,0.048014596437316946,0.0
Clearing,0.057617515724780334,0.0,0.0
Douglas,0.11043357180582897,0.01920583857492678,0.0
Dunning,0.057617515724780334,0.004801459643731695,0.0
East Garfield Park,0.21126422432419456,0.20166130503673116,0.0
East Side,0.09602919287463389,0.00960291928746339,0.0
Edgewater,0.057617515724780334,0.00960291928746339,0.0
Edison Park,0.00960291928746339,0.0,0.0
Englewood,0.2544773611177798,0.06722043501224373,0.0
Forest Glen,0.033610217506121864,0.0,0.0
Fuller Park,0.024007298218658473,0.0,0.0
Gage Park,0.11043357180582897,0.00960291928746339,0.0
Garfield Ridge,0.11523503144956067,0.004801459643731695,0.014404378931195084
Grand Boulevard,0.14404378931195083,0.014404378931195084,0.0
Greater Grand Crossing,0.48494742401690116,0.04321313679358525,0.0
Hegewisch,0.024007298218658473,0.0,0.0
Hermosa,0.057617515724780334,0.0,0.0
Humboldt Park,0.28328611898017,0.2544773611177798,0.0
Hyde Park,0.13444087002448746,0.0,0.0
Irving Park,0.1776540068180727,0.014404378931195084,0.0
Jefferson Park,0.07202189465597542,0.004801459643731695,0.0
Kenwood,0.07202189465597542,0.004801459643731695,0.0
Lake View,0.2592788207615115,0.033610217506121864,0.0
Lincoln Park,0.20166130503673116,0.004801459643731695,0.0
Lincoln Square,0.06722043501224373,0.00960291928746339,0.0
Logan Square,0.2400729821865847,0.01920583857492678,0.0
Loop,0.15844816824314592,0.00960291928746339,0.0
Lower West Side,0.1632496278868776,0.004801459643731695,0.0
McKinley Park,0.07202189465597542,0.0,0.0
Montclare,0.024007298218658473,0.0,0.0
Morgan Park,0.23527152254285302,0.004801459643731695,0.0
Mount Greenwood,0.04321313679358525,0.0,0.0
Near North Side,0.28328611898017,0.004801459643731695,0.0
Near South Side,0.05281605608104864,0.0,0.0
Near West Side,0.6049839151101934,0.024007298218658473,0.0
New City,0.24487444183031642,0.014404378931195084,0.0
North Center,0.06241897536851203,0.00960291928746339,0.0
North Lawndale,0.41772698900465743,0.34090363470495033,0.014404378931195084
North Park,0.04321313679358525,0.00960291928746339,0.0
Norwood Park,0.033610217506121864,0.0,0.0
O'Hare,0.04321313679358525,0.004801459643731695,0.0
Oakland,0.00960291928746339,0.0,0.0
Portage Park,0.15364670859941423,0.01920583857492678,0.0
Pullman,0.048014596437316946,0.00960291928746339,0.0
Riverdale,0.07202189465597542,0.00960291928746339,0.0
Rogers Park,0.172852547174341,0.004801459643731695,0.00960291928746339
Roseland,0.36491093292360877,0.12003649109329236,0.0
South Chicago,0.22086714361165793,0.04321313679358525,0.004801459643731695
South Deering,0.12483795073702406,0.028808757862390167,0.0
South Lawndale,0.22086714361165793,0.024007298218658473,0.0
South Shore,0.4033226100734623,0.048014596437316946,0.00960291928746339
Uptown,0.12483795073702406,0.033610217506121864,0.0
Washington Heights,0.1632496278868776,0.024007298218658473,0.0
Washington Park,0.14404378931195083,0.014404378931195084,0.0
West Elsdon,0.06722043501224373,0.0,0.0
West Englewood,0.3024919575550967,0.0864262735871705,0.01920583857492678
West Garfield Park,0.18245546646180438,0.2640802804052432,0.06722043501224373
West Lawn,0.10083065251836558,0.004801459643731695,0.0
West Pullman,0.20166130503673116,0.033610217506121864,0.0
West Ridge,0.24487444183031642,0.028808757862390167,0.0
West Town,0.44653574686704756,0.00960291928746339,0.0
Woodlawn,0.14884524895568252,0.05281605608104864,0.00960291928746339
