Community Name,ASSAULT,BATTERY,CRIM SEXUAL ASSAULT,HOMICIDE,ROBBERY
Albany Park,0.048014596437316946,0.14884524895568252,0.00960291928746339,0.0,0.10563211216209728
Archer Heights,0.004801459643731695,0.04321313679358525,0.0,0.004801459643731695,0.014404378931195084
Armour Square,0.004801459643731695,0.10083065251836558,0.0,0.004801459643731695,0.0864262735871705
Ashburn,0.07202189465597542,0.12483795073702406,0.0,0.0,0.13444087002448746
Auburn Gresham,0.20166130503673116,0.6674028904787055,0.014404378931195084,0.014404378931195084,0.19685984539299947
Austin,0.41772698900465743,1.3107984827387527,0.024007298218658473,0.03841167714985356,0.28808757862390166
Avalon Park,0.03841167714985356,0.10563211216209728,0.0,0.0,0.03841167714985356
Avondale,0.048014596437316946,0.0864262735871705,0.0,0.0,0.04321313679358525
Belmont Cragin,0.12483795073702406,0.37451385221107214,0.004801459643731695,0.004801459643731695,0.11523503144956067
Beverly,0.028808757862390167,0.024007298218658473,0.0,0.0,0.004801459643731695
Bridgeport,0.03841167714985356,0.0816248139434388,0.0,0.0,0.024007298218658473
Brighton Park,0.10083065251836558,0.19205838574926778,0.004801459643731695,0.00960291928746339,0.057617515724780334
Burnside,0.00960291928746339,0.024007298218658473,0.0,0.0,0.0
Calumet Heights,0.04321313679358525,0.0816248139434388,0.004801459643731695,0.0,0.028808757862390167
Chatham,0.18725692610553607,0.408124069717194,0.00960291928746339,0.014404378931195084,0.13444087002448746
Chicago Lawn,0.1632496278868776,0.36491093292360877,0.014404378931195084,0.014404378931195084,0.20646276468046287
Clearing,0.01920583857492678,0.03841167714985356,0.0,0.0,0.014404378931195084
Douglas,0.06241897536851203,0.20166130503673116,0.0,0.0,0.09122773323090219
Dunning,0.06722043501224373,0.10083065251836558,0.0,0.0,0.024007298218658473
East Garfield Park,0.12483795073702406,0.3793153118548039,0.004801459643731695,0.033610217506121864,0.09122773323090219
East Side,0.028808757862390167,0.11523503144956067,0.004801459643731695,0.004801459643731695,0.00960291928746339
Edgewater,0.06241897536851203,0.13924232966821914,0.00960291928746339,0.0,0.033610217506121864
