Primary Type,Year,Arrest Count,Total Count,Arrest Rate
ARSON,2001,181,1010,17.92079207920792
ARSON,2002,155,1032,15.01937984496124
ARSON,2003,140,955,14.659685863874346
ARSON,2004,109,778,14.010282776349614
ARSON,2005,120,691,17.36613603473227
ARSON,2006,117,726,16.115702479338843
ARSON,2007,93,712,13.061797752808989
ARSON,2008,59,644,9.161490683229813
ARSON,2009,69,616,11.2012987012987
ARSON,2010,66,522,12.64367816091954
ARSON,2011,48,504,9.523809523809524
ARSON,2012,46,469,9.808102345415778
ARSON,2013,46,364,12.637362637362637
ARSON,2014,34,399,8.521303258145364
ARSON,2015,47,451,10.42128603104213
ARSON,2016,37,481,7.6923076923076925
BURGLARY,2001,1693,26011,6.508784744915612
BURGLARY,2002,1665,25623,6.498068141903758
BURGLARY,2003,1610,25156,6.4000636031165525
BURGLARY,2004,1376,24564,5.601693535254845
BURGLARY,2005,1413,25504,5.540307402760352
BURGLARY,2006,1560,24324,6.413418845584608
BURGLARY,2007,1554,24858,6.251508568670046
BURGLARY,2008,1555,26219,5.930813532171326
BURGLARY,2009,1412,26766,5.27534932376896
BURGLARY,2010,1381,26422,5.226705018545152
BURGLARY,2011,1263,26619,4.7447312070325705
BURGLARY,2012,1277,22844,5.590089301348275
BURGLARY,2013,1095,17894,6.119369621102045
BURGLARY,2014,873,14569,5.99217516644931
BURGLARY,2015,670,13183,5.082302965940984
BURGLARY,2016,454,12917,3.514748006503058
CRIMINAL DAMAGE,2001,4548,55851,8.143095020680024
CRIMINAL DAMAGE,2002,4403,55940,7.870933142652842
CRIMINAL DAMAGE,2003,4060,55011,7.3803421133955025
CRIMINAL DAMAGE,2004,3965,53164,7.4580543224738545
CRIMINAL DAMAGE,2005,4083,54548,7.485150692967662
CRIMINAL DAMAGE,2006,4135,57124,7.23863875078776
CRIMINAL DAMAGE,2007,3994,53749,7.430835922528791
CRIMINAL DAMAGE,2008,3403,52841,6.440074941806552
CRIMINAL DAMAGE,2009,3270,47724,6.851898415891376
CRIMINAL DAMAGE,2010,2640,40653,6.493985683713379
CRIMINAL DAMAGE,2011,2583,37332,6.918997107039537
CRIMINAL DAMAGE,2012,2462,35853,6.866928848352997
CRIMINAL DAMAGE,2013,2105,30853,6.822675266586717
CRIMINAL DAMAGE,2014,2075,27796,7.465102892502518
CRIMINAL DAMAGE,2015,1825,28669,6.36576092643622
CRIMINAL DAMAGE,2016,1535,28856,5.3195176046576105
HUMAN TRAFFICKING,2013,1,2,50.0
HUMAN TRAFFICKING,2015,1,13,7.6923076923076925
HUMAN TRAFFICKING,2016,1,11,9.090909090909092
KIDNAPPING,2001,138,933,14.790996784565916
KIDNAPPING,2002,83,829,10.012062726176115
KIDNAPPING,2003,69,705,9.787234042553191
KIDNAPPING,2004,58,481,12.058212058212058
KIDNAPPING,2005,55,389,14.138817480719794
KIDNAPPING,2006,55,339,16.224188790560472
KIDNAPPING,2007,32,330,9.696969696969697
KIDNAPPING,2008,38,359,10.584958217270195
KIDNAPPING,2009,29,293,9.897610921501707
KIDNAPPING,2010,27,313,8.626198083067093
KIDNAPPING,2011,31,266,11.654135338345865
KIDNAPPING,2012,21,236,8.898305084745763
KIDNAPPING,2013,34,242,14.049586776859504
KIDNAPPING,2014,18,220,8.181818181818182
KIDNAPPING,2015,15,192,7.8125
KIDNAPPING,2016,10,194,5.154639175257732
MOTOR VEHICLE THEFT,2001,3417,27549,12.403354023739519
MOTOR VEHICLE THEFT,2002,3163,25121,12.591059273118109
MOTOR VEHICLE THEFT,2003,2740,22748,12.045014946368912
MOTOR VEHICLE THEFT,2004,2514,22805,11.0238982679237
MOTOR VEHICLE THEFT,2005,2343,22497,10.41472196292839
MOTOR VEHICLE THEFT,2006,1988,21818,9.111742597854983
MOTOR VEHICLE THEFT,2007,1777,18573,9.567651967910408
MOTOR VEHICLE THEFT,2008,1526,18881,8.082199036068005
MOTOR VEHICLE THEFT,2009,1300,15482,8.396847952460922
MOTOR VEHICLE THEFT,2010,1046,19028,5.497162076939247
MOTOR VEHICLE THEFT,2011,946,19387,4.879558467013978
MOTOR VEHICLE THEFT,2012,868,16492,5.2631578947368425
MOTOR VEHICLE THEFT,2013,830,12582,6.596725480845652
MOTOR VEHICLE THEFT,2014,734,9913,7.404418440431757
MOTOR VEHICLE THEFT,2015,915,10079,9.078281575553131
MOTOR VEHICLE THEFT,2016,672,10284,6.534422403733956
NON-CRIMINAL,2012,1,6,16.666666666666668
NON-CRIMINAL,2013,1,4,25.0
NON-CRIMINAL,2015,3,15,20.0
NON-CRIMINAL,2016,2,46,4.3478260869565215
RITUALISM,2001,1,8,12.5
RITUALISM,2002,1,2,50.0
RITUALISM,2006,1,7,14.285714285714286
ROBBERY,2001,1840,18441,9.977766932378938
ROBBERY,2002,1757,18522,9.486016628873772
ROBBERY,2003,1591,17332,9.179552273251788
ROBBERY,2004,1478,15978,9.250219051195394
ROBBERY,2005,1641,16047,10.226210506636754
ROBBERY,2006,1735,15968,10.865480961923847
ROBBERY,2007,1614,15450,10.446601941747574
ROBBERY,2008,1686,16703,10.093995090702268
ROBBERY,2009,1562,15979,9.77533012078353
ROBBERY,2010,1356,14273,9.500455405310726
ROBBERY,2011,1319,13982,9.433557430982692
ROBBERY,2012,1382,13484,10.24918421833284
ROBBERY,2013,1325,11819,11.210762331838565
ROBBERY,2014,1035,9798,10.56338028169014
ROBBERY,2015,891,9639,9.243697478991596
ROBBERY,2016,729,10869,6.70714877173613
THEFT,2001,15543,99264,15.658244680851064
THEFT,2002,13697,98327,13.930049732016638
THEFT,2003,12889,98875,13.035651074589127
THEFT,2004,12068,95463,12.641546986790694
THEFT,2005,11338,85685,13.232187664118573
THEFT,2006,10108,86238,11.721051044783042
THEFT,2007,9783,85155,11.488462215959133
THEFT,2008,9291,88430,10.506615402012892
THEFT,2009,9898,80972,12.223978659289632
THEFT,2010,7814,76750,10.181107491856677
THEFT,2011,8453,75142,11.24936786351175
THEFT,2012,8244,75454,10.92586211466589
THEFT,2013,7726,71522,10.80227063001594
THEFT,2014,7356,61528,11.955532440514888
THEFT,2015,6725,57287,11.739138024333618
THEFT,2016,5813,56136,10.355208778680348
