Primary Type,Year,Month,Crimes Count
ASSAULT,2001,April,2746
ASSAULT,2001,August,3021
ASSAULT,2001,December,2078
ASSAULT,2001,February,2029
ASSAULT,2001,January,2123
ASSAULT,2001,July,3019
ASSAULT,2001,June,2767
ASSAULT,2001,March,2824
ASSAULT,2001,May,2903
ASSAULT,2001,November,2394
ASSAULT,2001,October,2621
ASSAULT,2001,September,2859
ASSAULT,2002,April,2559
ASSAULT,2002,August,2893
ASSAULT,2002,December,2052
ASSAULT,2002,February,2010
ASSAULT,2002,January,2262
ASSAULT,2002,July,3123
ASSAULT,2002,June,3094
ASSAULT,2002,March,2425
ASSAULT,2002,May,3179
ASSAULT,2002,November,2183
ASSAULT,2002,October,2736
ASSAULT,2002,September,3005
ASSAULT,2003,April,2450
ASSAULT,2003,August,2822
ASSAULT,2003,December,2059
ASSAULT,2003,February,1983
ASSAULT,2003,January,2014
ASSAULT,2003,July,2793
ASSAULT,2003,June,2619
ASSAULT,2003,March,2446
ASSAULT,2003,May,2851
ASSAULT,2003,November,2154
ASSAULT,2003,October,2580
ASSAULT,2003,September,2706
ASSAULT,2004,April,2393
ASSAULT,2004,August,2512
ASSAULT,2004,December,1874
ASSAULT,2004,February,2064
ASSAULT,2004,January,1959
ASSAULT,2004,July,2720
ASSAULT,2004,June,2761
ASSAULT,2004,March,2584
ASSAULT,2004,May,2777
ASSAULT,2004,November,2021
ASSAULT,2004,October,2494
ASSAULT,2004,September,2691
ASSAULT,2005,April,2467
ASSAULT,2005,August,2492
ASSAULT,2005,December,1717
ASSAULT,2005,February,1868
ASSAULT,2005,January,1860
ASSAULT,2005,July,2554
ASSAULT,2005,June,2629
ASSAULT,2005,March,2214
ASSAULT,2005,May,2626
ASSAULT,2005,November,1844
ASSAULT,2005,October,2291
ASSAULT,2005,September,2504
ASSAULT,2006,April,2182
ASSAULT,2006,August,2338
ASSAULT,2006,December,1923
ASSAULT,2006,February,1794
ASSAULT,2006,January,1959
ASSAULT,2006,July,2510
ASSAULT,2006,June,2311
ASSAULT,2006,March,2180
