Community Name,ARSON,BURGLARY,MOTOR VEHICLE THEFT,THEFT
Albany Park,0.0,0.12051609244293209,0.05671345526726216,0.3048348220615341
Archer Heights,0.0,0.04962427335885439,0.06380263717566993,0.10633772862611654
Armour Square,0.0,0.02835672763363108,0.00708918190840777,0.09215936480930101
Ashburn,0.0,0.07798100099248546,0.17722954771019425,0.24812136679427194
Auburn Gresham,0.0,0.17722954771019425,0.09924854671770877,0.41117255068765063
Austin,0.02126754572522331,0.21976463916064087,0.36863745923720403,0.9357720119098256
Avalon Park,0.00708918190840777,0.03544590954203885,0.01417836381681554,0.09215936480930101
Avondale,0.0,0.07798100099248546,0.10633772862611654,0.26938891251949526
Belmont Cragin,0.0,0.13469445625974763,0.12051609244293209,0.36154827732879624
Beverly,0.0,0.06380263717566993,0.01417836381681554,0.09215936480930101
Bridgeport,0.0,0.03544590954203885,0.0708918190840777,0.12760527435133986
Brighton Park,0.0,0.09215936480930101,0.05671345526726216,0.10633772862611654
Burnside,0.0,0.01417836381681554,0.01417836381681554,0.02126754572522331
Calumet Heights,0.0,0.03544590954203885,0.02126754572522331,0.0708918190840777
Chatham,0.0,0.19140791152700978,0.09215936480930101,0.48915355168013613
Chicago Lawn,0.0,0.24812136679427194,0.09215936480930101,0.25521054870267973
Clearing,0.0,0.03544590954203885,0.01417836381681554,0.04962427335885439
Douglas,0.0,0.0,0.02835672763363108,0.38990500496242736
Dunning,0.0,0.13469445625974763,0.01417836381681554,0.12051609244293209
East Garfield Park,0.0,0.03544590954203885,0.07798100099248546,0.20558627534382531
East Side,0.0,0.00708918190840777,0.04962427335885439,0.05671345526726216
Edgewater,0.0,0.02835672763363108,0.03544590954203885,0.21976463916064087
Edison Park,0.0,0.0,0.02126754572522331,0.05671345526726216
Englewood,0.00708918190840777,0.09924854671770877,0.0708918190840777,0.21267545725223308
Forest Glen,0.0,0.04962427335885439,0.00708918190840777,0.0708918190840777
Fuller Park,0.0,0.0,0.03544590954203885,0.10633772862611654
Gage Park,0.0,0.07798100099248546,0.03544590954203885,0.15596200198497093
Garfield Ridge,0.0,0.11342691053452432,0.02835672763363108,0.15596200198497093
Grand Boulevard,0.0,0.09215936480930101,0.09215936480930101,0.3048348220615341
Greater Grand Crossing,0.0,0.21267545725223308,0.07798100099248546,0.31192400396994185
Hegewisch,0.0,0.03544590954203885,0.0,0.03544590954203885
Hermosa,0.0,0.05671345526726216,0.03544590954203885,0.09924854671770877
Humboldt Park,0.00708918190840777,0.13469445625974763,0.26229973061108747,0.43244009641287395
Hyde Park,0.0,0.09215936480930101,0.02126754572522331,0.3331915496951652
Irving Park,0.00708918190840777,0.12760527435133986,0.07798100099248546,0.2977456401531263
Jefferson Park,0.0,0.02126754572522331,0.00708918190840777,0.10633772862611654
Kenwood,0.0,0.06380263717566993,0.01417836381681554,0.09215936480930101
Lake View,0.0,0.07798100099248546,0.05671345526726216,0.7727208280164469
Lincoln Park,0.0,0.10633772862611654,0.05671345526726216,0.9499503757266411
Lincoln Square,0.0,0.09924854671770877,0.02126754572522331,0.21976463916064087
Logan Square,0.0,0.18431872961860202,0.14887282007656316,0.7585424641996313
Loop,0.00708918190840777,0.12760527435133986,0.00708918190840777,1.8644548419112434
Lower West Side,0.0,0.06380263717566993,0.04253509145044662,0.24103218488586417
McKinley Park,0.0,0.00708918190840777,0.00708918190840777,0.0708918190840777
Montclare,0.0,0.04253509145044662,0.0,0.08507018290089324
Morgan Park,0.0,0.06380263717566993,0.03544590954203885,0.26229973061108747
Mount Greenwood,0.0,0.00708918190840777,0.0,0.13469445625974763
Near North Side,0.0,0.09924854671770877,0.09215936480930101,1.878633205728059
Near South Side,0.0,0.02126754572522331,0.02835672763363108,0.25521054870267973
Near West Side,0.0,0.14887282007656316,0.10633772862611654,1.722671203743088
New City,0.02126754572522331,0.1417836381681554,0.05671345526726216,0.340280731603573
North Center,0.0,0.04253509145044662,0.02835672763363108,0.21267545725223308
North Lawndale,0.00708918190840777,0.12051609244293209,0.24103218488586417,0.3473699135119807
North Park,0.0,0.05671345526726216,0.00708918190840777,0.09924854671770877
Norwood Park,0.0,0.06380263717566993,0.02835672763363108,0.17722954771019425
O'Hare,0.0,0.0,0.12051609244293209,0.18431872961860202
Oakland,0.0,0.00708918190840777,0.0,0.06380263717566993
Portage Park,0.00708918190840777,0.07798100099248546,0.09215936480930101,0.24812136679427194
Pullman,0.0,0.02126754572522331,0.03544590954203885,0.10633772862611654
Riverdale,0.00708918190840777,0.02126754572522331,0.01417836381681554,0.0708918190840777
Rogers Park,0.0,0.07798100099248546,0.02835672763363108,0.3473699135119807
Roseland,0.0,0.22685382106904864,0.13469445625974763,0.38990500496242736
South Chicago,0.00708918190840777,0.13469445625974763,0.0708918190840777,0.20558627534382531
South Deering,0.00708918190840777,0.0,0.05671345526726216,0.12051609244293209
South Lawndale,0.0,0.10633772862611654,0.0708918190840777,0.31192400396994185
South Shore,0.0,0.276478094427903,0.10633772862611654,0.6167588260314759
Uptown,0.0,0.09215936480930101,0.03544590954203885,0.3331915496951652
Washington Heights,0.0,0.11342691053452432,0.04253509145044662,0.17722954771019425
Washington Park,0.0,0.05671345526726216,0.05671345526726216,0.13469445625974763
