Community Name,ASSAULT,BATTERY,CRIM SEXUAL ASSAULT,HOMICIDE,ROBBERY
Albany Park,0.04962427335885439,0.1701403658017865,0.00708918190840777,0.0,0.08507018290089324
Archer Heights,0.00708918190840777,0.04253509145044662,0.0,0.00708918190840777,0.01417836381681554
Armour Square,0.00708918190840777,0.09215936480930101,0.0,0.00708918190840777,0.06380263717566993
Ashburn,0.03544590954203885,0.15596200198497093,0.0,0.0,0.1701403658017865
Auburn Gresham,0.19140791152700978,0.7160073727491847,0.01417836381681554,0.01417836381681554,0.19140791152700978
Austin,0.4537076421380973,1.261874379696583,0.02126754572522331,0.02126754572522331,0.276478094427903
Avalon Park,0.04253509145044662,0.11342691053452432,0.0,0.0,0.04962427335885439
Avondale,0.02126754572522331,0.12051609244293209,0.0,0.0,0.05671345526726216
Belmont Cragin,0.11342691053452432,0.36863745923720403,0.0,0.00708918190840777,0.12760527435133986
Beverly,0.02126754572522331,0.02126754572522331,0.0,0.0,0.00708918190840777
Bridgeport,0.04962427335885439,0.07798100099248546,0.0,0.0,0.02126754572522331
Brighton Park,0.09215936480930101,0.17722954771019425,0.00708918190840777,0.00708918190840777,0.05671345526726216
Burnside,0.01417836381681554,0.02126754572522331,0.0,0.0,0.0
Calumet Heights,0.04253509145044662,0.07798100099248546,0.00708918190840777,0.0,0.04253509145044662
Chatham,0.1701403658017865,0.3757266411456118,0.00708918190840777,0.00708918190840777,0.1630511838933787
Chicago Lawn,0.1417836381681554,0.3473699135119807,0.02126754572522331,0.01417836381681554,0.15596200198497093
Clearing,0.01417836381681554,0.02126754572522331,0.0,0.0,0.01417836381681554
Douglas,0.04253509145044662,0.19849709343541755,0.00708918190840777,0.0,0.05671345526726216
Dunning,0.06380263717566993,0.11342691053452432,0.0,0.0,0.03544590954203885
East Garfield Park,0.13469445625974763,0.36863745923720403,0.00708918190840777,0.03544590954203885,0.07798100099248546
East Side,0.04962427335885439,0.12051609244293209,0.00708918190840777,0.00708918190840777,0.00708918190840777
Edgewater,0.08507018290089324,0.1417836381681554,0.00708918190840777,0.0,0.04253509145044662
Edison Park,0.02835672763363108,0.01417836381681554,0.0,0.0,0.0
Englewood,0.1417836381681554,0.5813129164894372,0.00708918190840777,0.02126754572522331,0.1417836381681554
Forest Glen,0.00708918190840777,0.03544590954203885,0.0,0.0,0.0
Fuller Park,0.02835672763363108,0.05671345526726216,0.0,0.0,0.01417836381681554
Gage Park,0.04962427335885439,0.24812136679427194,0.0,0.00708918190840777,0.06380263717566993
Garfield Ridge,0.04253509145044662,0.12051609244293209,0.0,0.0,0.02126754572522331
Grand Boulevard,0.09924854671770877,0.276478094427903,0.00708918190840777,0.0,0.09924854671770877
Greater Grand Crossing,0.24812136679427194,0.5458670069473983,0.00708918190840777,0.00708918190840777,0.18431872961860202
Hegewisch,0.0,0.03544590954203885,0.0,0.0,0.00708918190840777
Hermosa,0.02835672763363108,0.11342691053452432,0.0,0.0,0.01417836381681554
Humboldt Park,0.19849709343541755,0.5671345526726216,0.03544590954203885,0.00708918190840777,0.21976463916064087
Hyde Park,0.03544590954203885,0.0708918190840777,0.00708918190840777,0.0,0.02835672763363108
Irving Park,0.06380263717566993,0.13469445625974763,0.01417836381681554,0.0,0.00708918190840777
Jefferson Park,0.03544590954203885,0.04253509145044662,0.0,0.0,0.0
Kenwood,0.0708918190840777,0.12760527435133986,0.00708918190840777,0.0,0.02126754572522331
Lake View,0.04962427335885439,0.24812136679427194,0.02835672763363108,0.0,0.04253509145044662
Lincoln Park,0.03544590954203885,0.13469445625974763,0.0,0.0,0.01417836381681554
Lincoln Square,0.02835672763363108,0.09215936480930101,0.0,0.0,0.00708918190840777
Logan Square,0.09924854671770877,0.24103218488586417,0.00708918190840777,0.0,0.08507018290089324
Loop,0.11342691053452432,0.24812136679427194,0.0,0.0,0.13469445625974763
Lower West Side,0.06380263717566993,0.14887282007656316,0.01417836381681554,0.0,0.01417836381681554
