Primary Type,Year,Arrest Count,Total Count,Arrest Rate
ASSAULT,2001,7150,31384,22.78230945704818
ASSAULT,2002,7340,31521,23.28606325941436
ASSAULT,2003,6909,29477,23.438613156019947
ASSAULT,2004,7004,28850,24.27729636048527
ASSAULT,2005,6631,27066,24.499371905711964
ASSAULT,2006,6288,25945,24.235883599922914
ASSAULT,2007,6550,26314,24.891692635099187
ASSAULT,2008,5316,25447,20.8904782489095
ASSAULT,2009,5700,22861,24.93329250688946
ASSAULT,2010,5051,21535,23.45484095658231
ASSAULT,2011,5184,20411,25.398069668316104
ASSAULT,2012,4792,19898,24.082822394210474
ASSAULT,2013,4463,17971,24.83445551165767
ASSAULT,2014,4495,16896,26.603929924242426
ASSAULT,2015,4050,17041,23.766210903116015
ASSAULT,2016,3189,17430,18.2960413080895
BATTERY,2001,20460,93448,21.894529577947093
BATTERY,2002,21323,94152,22.647421191265188
BATTERY,2003,20454,88378,23.143768811242616
BATTERY,2004,20711,87134,23.769137190993185
BATTERY,2005,19992,83964,23.810204373302845
BATTERY,2006,18890,80665,23.417839211553957
BATTERY,2007,19381,79591,24.350743174479526
BATTERY,2008,15519,75921,20.44098470778836
BATTERY,2009,16324,68463,23.843535924513972
BATTERY,2010,14273,65401,21.823825323771807
BATTERY,2011,14136,60458,23.38152105593966
BATTERY,2012,13058,59132,22.08279780829331
BATTERY,2013,12923,54002,23.930595163142105
BATTERY,2014,12500,49443,25.281637441093785
BATTERY,2015,11524,48895,23.568872072809082
BATTERY,2016,9338,46793,19.95597632124463
CRIM SEXUAL ASSAULT,2001,413,1794,23.02118171683389
CRIM SEXUAL ASSAULT,2002,400,1827,21.893814997263274
CRIM SEXUAL ASSAULT,2003,313,1586,19.735182849936947
CRIM SEXUAL ASSAULT,2004,319,1569,20.331421287444233
CRIM SEXUAL ASSAULT,2005,277,1537,18.022121014964217
CRIM SEXUAL ASSAULT,2006,242,1457,16.609471516815375
CRIM SEXUAL ASSAULT,2007,219,1529,14.323086984957488
CRIM SEXUAL ASSAULT,2008,269,1514,17.76750330250991
CRIM SEXUAL ASSAULT,2009,221,1405,15.729537366548042
CRIM SEXUAL ASSAULT,2010,231,1339,17.251680358476474
CRIM SEXUAL ASSAULT,2011,215,1460,14.726027397260275
CRIM SEXUAL ASSAULT,2012,200,1405,14.234875444839858
CRIM SEXUAL ASSAULT,2013,219,1264,17.325949367088608
CRIM SEXUAL ASSAULT,2014,165,1301,12.682551883166795
CRIM SEXUAL ASSAULT,2015,133,1340,9.925373134328359
CRIM SEXUAL ASSAULT,2016,76,1339,5.675877520537715
DECEPTIVE PRACTICE,2001,4789,14890,32.16252518468771
DECEPTIVE PRACTICE,2002,3804,13709,27.74819461667518
DECEPTIVE PRACTICE,2003,3549,13439,26.408214896941736
DECEPTIVE PRACTICE,2004,3291,13228,24.879044451164198
DECEPTIVE PRACTICE,2005,3203,13547,23.643611131615856
DECEPTIVE PRACTICE,2006,2854,13548,21.06583997638028
DECEPTIVE PRACTICE,2007,2853,14105,20.22686990428926
DECEPTIVE PRACTICE,2008,2172,14849,14.627247626102768
DECEPTIVE PRACTICE,2009,2457,13751,17.867791433350302
DECEPTIVE PRACTICE,2010,2077,12402,16.74729882277052
DECEPTIVE PRACTICE,2011,2466,12494,19.737473987514008
DECEPTIVE PRACTICE,2012,2968,13414,22.126136871924853
DECEPTIVE PRACTICE,2013,2514,13450,18.691449814126393
DECEPTIVE PRACTICE,2014,1747,15258,11.449731288504392
DECEPTIVE PRACTICE,2015,965,15310,6.303069888961463
DECEPTIVE PRACTICE,2016,624,15404,4.050895871202285
HOMICIDE,2001,422,667,63.26836581709146
HOMICIDE,2002,413,657,62.861491628614914
HOMICIDE,2003,370,604,61.258278145695364
HOMICIDE,2004,286,454,62.99559471365639
HOMICIDE,2005,270,453,59.602649006622514
HOMICIDE,2006,256,477,53.668763102725364
HOMICIDE,2007,244,448,54.464285714285715
HOMICIDE,2008,263,513,51.267056530214425
HOMICIDE,2009,218,460,47.391304347826086
HOMICIDE,2010,191,438,43.60730593607306
HOMICIDE,2011,178,437,40.732265446224254
HOMICIDE,2012,206,503,40.95427435387674
HOMICIDE,2013,175,422,41.46919431279621
HOMICIDE,2014,168,424,39.62264150943396
HOMICIDE,2015,162,496,32.66129032258065
HOMICIDE,2016,140,709,19.746121297602258
INTIMIDATION,2001,75,279,26.881720430107528
INTIMIDATION,2002,59,337,17.50741839762611
INTIMIDATION,2003,47,364,12.912087912087912
INTIMIDATION,2004,69,349,19.770773638968482
INTIMIDATION,2005,43,258,16.666666666666668
INTIMIDATION,2006,42,276,15.217391304347826
INTIMIDATION,2007,51,255,20.0
INTIMIDATION,2008,56,261,21.455938697318008
INTIMIDATION,2009,39,231,16.883116883116884
INTIMIDATION,2010,23,197,11.6751269035533
INTIMIDATION,2011,42,171,24.56140350877193
INTIMIDATION,2012,34,156,21.794871794871796
INTIMIDATION,2013,20,134,14.925373134328359
INTIMIDATION,2014,27,117,23.076923076923077
INTIMIDATION,2015,21,121,17.355371900826448
INTIMIDATION,2016,14,115,12.173913043478262
NON - CRIMINAL,2015,4,20,20.0
NON - CRIMINAL,2016,2,5,40.0
NON-CRIMINAL (SUBJECT SPECIFIED),2012,1,2,50.0
OFFENSE INVOLVING CHILDREN,2001,802,2236,35.86762075134168
OFFENSE INVOLVING CHILDREN,2002,768,2571,29.87164527421237
OFFENSE INVOLVING CHILDREN,2003,856,3029,28.26015186530208
OFFENSE INVOLVING CHILDREN,2004,689,3069,22.45030954708374
OFFENSE INVOLVING CHILDREN,2005,655,2872,22.80640668523677
OFFENSE INVOLVING CHILDREN,2006,652,2743,23.769595333576376
OFFENSE INVOLVING CHILDREN,2007,678,2859,23.71458551941238
OFFENSE INVOLVING CHILDREN,2008,533,2602,20.484242890084552
OFFENSE INVOLVING CHILDREN,2009,502,2545,19.724950884086443
OFFENSE INVOLVING CHILDREN,2010,504,2516,20.031796502384736
OFFENSE INVOLVING CHILDREN,2011,445,2316,19.214162348877373
OFFENSE INVOLVING CHILDREN,2012,398,2183,18.231791113147047
OFFENSE INVOLVING CHILDREN,2013,386,2316,16.666666666666668
OFFENSE INVOLVING CHILDREN,2014,425,2340,18.162393162393162
OFFENSE INVOLVING CHILDREN,2015,359,2200,16.318181818181817
OFFENSE INVOLVING CHILDREN,2016,218,2112,10.321969696969697
OTHER OFFENSE,2001,5299,29656,17.86822228216887
OTHER OFFENSE,2002,5701,32599,17.488266511242678
OTHER OFFENSE,2003,5855,31147,18.797958069798053
OTHER OFFENSE,2004,5382,29531,18.224916189766684
OTHER OFFENSE,2005,4726,28028,16.861709718852577
OTHER OFFENSE,2006,4010,27100,14.797047970479705
OTHER OFFENSE,2007,4229,26863,15.742843316085322
OTHER OFFENSE,2008,3496,26533,13.176044925187503
OTHER OFFENSE,2009,4204,25601,16.421233545564625
OTHER OFFENSE,2010,3268,22012,14.846447392331456
OTHER OFFENSE,2011,3169,20188,15.697444026154152
OTHER OFFENSE,2012,2755,17480,15.76086956521739
OTHER OFFENSE,2013,3396,17984,18.883451957295375
OTHER OFFENSE,2014,4143,16962,24.4251857092324
OTHER OFFENSE,2015,4771,17527,27.220859245735152
OTHER OFFENSE,2016,2979,15576,19.12557781201849
SEX OFFENSE,2001,839,2228,37.657091561938955
SEX OFFENSE,2002,774,2167,35.71758191047531
SEX OFFENSE,2003,683,2068,33.02707930367505
SEX OFFENSE,2004,650,1802,36.07103218645949
SEX OFFENSE,2005,596,1803,33.05601774819745
SEX OFFENSE,2006,546,1561,34.97757847533632
SEX OFFENSE,2007,544,1520,35.78947368421053
SEX OFFENSE,2008,418,1482,28.205128205128204
SEX OFFENSE,2009,411,1243,33.065164923572006
SEX OFFENSE,2010,330,1109,29.75653742110009
SEX OFFENSE,2011,350,1066,32.833020637898684
SEX OFFENSE,2012,289,1050,27.523809523809526
SEX OFFENSE,2013,286,1012,28.26086956521739
SEX OFFENSE,2014,239,947,25.237592397043294
SEX OFFENSE,2015,215,932,23.068669527896997
SEX OFFENSE,2016,136,851,15.981198589894243
STALKING,2001,51,203,25.123152709359605
STALKING,2002,44,200,22.0
STALKING,2003,44,247,17.813765182186234
STALKING,2004,36,215,16.74418604651163
STALKING,2005,23,192,11.979166666666666
STALKING,2006,25,186,13.440860215053764
STALKING,2007,34,213,15.96244131455399
STALKING,2008,24,190,12.631578947368421
STALKING,2009,23,167,13.77245508982036
STALKING,2010,26,189,13.756613756613756
STALKING,2011,30,181,16.574585635359117
STALKING,2012,38,207,18.357487922705314
STALKING,2013,32,153,20.915032679738562
STALKING,2014,28,140,20.0
STALKING,2015,31,152,20.394736842105264
STALKING,2016,11,148,7.4324324324324325
