user_id,user_type,display_name,link,reputation,tags,is_answered,view_count,answer_count,score,question_id,question_link,title,creation_date
1504276,registered,user1504276,http://stackoverflow.com/users/1504276/user1504276,2328,"['python', 'pandas', 'replace', 'dataframe', 'rename']",True,416195,15,459,11346283,http://stackoverflow.com/questions/11346283/renaming-columns-in-pandas,Renaming columns in pandas,1341498075
919872,registered,Zelazny7,http://stackoverflow.com/users/919872/zelazny7,11242,"['python', 'mongodb', 'pandas', 'large-data', 'hdf5']",True,111679,10,426,14262433,http://stackoverflow.com/questions/14262433/large-data-work-flows-using-pandas,&quot;Large data&quot; work flows using pandas,1357834832
390388,registered,John,http://stackoverflow.com/users/390388/john,5845,"['python', 'pandas', 'design', 'dataframe', 'magic-methods']",True,348509,10,366,13411544,http://stackoverflow.com/questions/13411544/delete-column-from-pandas-dataframe,Delete column from pandas DataFrame,1353047200
1661173,registered,tomasz74,http://stackoverflow.com/users/1661173/tomasz74,1769,"['python', 'pandas', 'dataframe']",True,314167,11,210,12555323,http://stackoverflow.com/questions/12555323/adding-new-column-to-existing-dataframe-in-python-pandas,Adding new column to existing DataFrame in Python pandas,1348426801
31335,registered,PhE,http://stackoverflow.com/users/31335/phe,1205,"['python', 'pandas']",True,202607,9,191,10715965,http://stackoverflow.com/questions/10715965/add-one-row-in-a-pandas-dataframe,add one row in a pandas.DataFrame,1337760751
2428549,registered,natsuki_1996,http://stackoverflow.com/users/2428549/natsuki-1996,2012,"['python', 'pandas', 'dataframe']",True,220803,10,173,19482970,http://stackoverflow.com/questions/19482970/get-list-from-pandas-dataframe-column-headers,Get list from pandas DataFrame column headers,1382303917
458429,registered,szli,http://stackoverflow.com/users/458429/szli,1716,"['python', 'pandas', 'dataframe']",True,172560,7,172,17071871,http://stackoverflow.com/questions/17071871/select-rows-from-a-dataframe-based-on-values-in-a-column-in-pandas,Select rows from a DataFrame based on values in a column in pandas,1371058925
1772165,registered,Timmie,http://stackoverflow.com/users/1772165/timmie,979,"['python', 'pandas']",True,97197,13,170,13148429,http://stackoverflow.com/questions/13148429/how-to-change-the-order-of-dataframe-columns,How to change the order of DataFrame columns?,1351635779
1642513,registered,ezbentley,http://stackoverflow.com/users/1642513/ezbentley,3149,"['python', 'pandas']",True,219657,2,163,15891038,http://stackoverflow.com/questions/15891038/pandas-change-data-type-of-columns,Pandas: change data type of columns,1365465210
1072888,registered,bigbug,http://stackoverflow.com/users/1072888/bigbug,4936,"['python', 'pandas', 'dataframe']",True,159427,6,158,13413590,http://stackoverflow.com/questions/13413590/how-to-drop-rows-of-pandas-dataframe-whose-value-of-certain-column-is-nan,How to drop rows of Pandas dataframe whose value of certain column is NaN,1353057442
1560517,registered,appleLover,http://stackoverflow.com/users/1560517/applelover,1677,"['python', 'dictionary', 'pandas', 'dataframe']",True,27931,2,157,20638006,http://stackoverflow.com/questions/20638006/convert-list-of-dictionaries-to-dataframe,Convert list of dictionaries to Dataframe,1387293891
245549,registered,Roman,http://stackoverflow.com/users/245549/roman,14319,"['python', 'pandas', 'rows', 'dataframe']",True,163227,4,152,16476924,http://stackoverflow.com/questions/16476924/how-to-iterate-over-rows-in-a-dataframe,How to iterate over rows in a DataFrame?,1368169489
983191,registered,zach,http://stackoverflow.com/users/983191/zach,4294,"['python', 'pandas']",True,104416,1,152,12096252,http://stackoverflow.com/questions/12096252/use-a-list-of-values-to-select-rows-from-a-pandas-dataframe,use a list of values to select rows from a pandas dataframe,1345739472
1072888,registered,bigbug,http://stackoverflow.com/users/1072888/bigbug,4936,"['python', 'pandas']",True,77878,4,148,12065885,http://stackoverflow.com/questions/12065885/how-to-filter-the-dataframe-rows-of-pandas-by-within-in,How to filter the DataFrame rows of pandas by &quot;within&quot;/&quot;in&quot;?,1345605416
2006977,registered,yemu,http://stackoverflow.com/users/2006977/yemu,2180,"['python', 'pandas', 'dataframe']",True,187412,6,148,15943769,http://stackoverflow.com/questions/15943769/how-to-get-row-count-of-pandas-dataframe,how to get row count of pandas dataframe?,1365668048
