user_id,account_id,bronze_badge,silver_badge,gold_badge,user_type,display_name,link,reputation,tags,is_answered,view_count,answer_count,score,question_id,question_link,title,creation_date,down_vote_count
1504276,1629413,7,8,3,registered,user1504276,http://stackoverflow.com/users/1504276/user1504276,2333,"['python', 'pandas', 'replace', 'dataframe', 'rename']",True,417248,15,460,11346283,http://stackoverflow.com/questions/11346283/renaming-columns-in-pandas,Renaming columns in pandas,1341498075,1
919872,559690,54,32,8,registered,Zelazny7,http://stackoverflow.com/users/919872/zelazny7,11257,"['python', 'mongodb', 'pandas', 'large-data', 'hdf5']",True,111890,10,427,14262433,http://stackoverflow.com/questions/14262433/large-data-work-flows-using-pandas,&quot;Large data&quot; work flows using pandas,1357834832,0
390388,166334,76,48,11,registered,John,http://stackoverflow.com/users/390388/john,5857,"['python', 'pandas', 'design', 'dataframe', 'magic-methods']",True,349532,10,366,13411544,http://stackoverflow.com/questions/13411544/delete-column-from-pandas-dataframe,Delete column from pandas DataFrame,1353047200,1
1661173,1829257,29,18,4,registered,tomasz74,http://stackoverflow.com/users/1661173/tomasz74,1774,"['python', 'pandas', 'dataframe']",True,314989,11,211,12555323,http://stackoverflow.com/questions/12555323/adding-new-column-to-existing-dataframe-in-python-pandas,Adding new column to existing DataFrame in Python pandas,1348426801,0
31335,15028,10,9,2,registered,PhE,http://stackoverflow.com/users/31335/phe,1205,"['python', 'pandas']",True,203069,9,191,10715965,http://stackoverflow.com/questions/10715965/add-one-row-in-a-pandas-dataframe,add one row in a pandas.DataFrame,1337760751,0
2428549,2825884,36,19,7,registered,natsuki_1996,http://stackoverflow.com/users/2428549/natsuki-1996,2012,"['python', 'pandas', 'dataframe']",True,221400,10,173,19482970,http://stackoverflow.com/questions/19482970/get-list-from-pandas-dataframe-column-headers,Get list from pandas DataFrame column headers,1382303917,1
458429,208131,26,17,3,registered,szli,http://stackoverflow.com/users/458429/szli,1716,"['python', 'pandas', 'dataframe']",True,173220,7,172,17071871,http://stackoverflow.com/questions/17071871/select-rows-from-a-dataframe-based-on-values-in-a-column-in-pandas,Select rows from a DataFrame based on values in a column in pandas,1371058925,0
1772165,921423,6,7,2,registered,Timmie,http://stackoverflow.com/users/1772165/timmie,979,"['python', 'pandas']",True,97453,13,170,13148429,http://stackoverflow.com/questions/13148429/how-to-change-the-order-of-dataframe-columns,How to change the order of DataFrame columns?,1351635779,0
1642513,1316350,51,35,8,registered,ezbentley,http://stackoverflow.com/users/1642513/ezbentley,3154,"['python', 'pandas']",True,220245,2,164,15891038,http://stackoverflow.com/questions/15891038/pandas-change-data-type-of-columns,Pandas: change data type of columns,1365465210,0
1072888,1074439,67,45,14,registered,bigbug,http://stackoverflow.com/users/1072888/bigbug,4936,"['python', 'pandas']",True,95943,7,88,13331698,http://stackoverflow.com/questions/13331698/how-to-apply-a-function-to-two-columns-of-pandas-dataframe,How to apply a function to two columns of Pandas dataframe,1352641733,0
1560517,1700217,26,15,4,registered,appleLover,http://stackoverflow.com/users/1560517/applelover,1677,"['python', 'dictionary', 'pandas', 'dataframe']",True,27997,2,157,20638006,http://stackoverflow.com/questions/20638006/convert-list-of-dictionaries-to-dataframe,Convert list of dictionaries to Dataframe,1387293891,0
245549,88863,289,200,94,registered,Roman,http://stackoverflow.com/users/245549/roman,14334,"['python', 'pandas', 'rows', 'dataframe']",True,163831,4,153,16476924,http://stackoverflow.com/questions/16476924/how-to-iterate-over-rows-in-a-dataframe,How to iterate over rows in a DataFrame?,1368169489,1
983191,958289,63,32,7,registered,zach,http://stackoverflow.com/users/983191/zach,4294,"['python', 'pandas']",True,104664,1,152,12096252,http://stackoverflow.com/questions/12096252/use-a-list-of-values-to-select-rows-from-a-pandas-dataframe,use a list of values to select rows from a pandas dataframe,1345739472,2
2006977,1187759,21,12,3,registered,yemu,http://stackoverflow.com/users/2006977/yemu,2180,"['python', 'pandas', 'dataframe']",True,188046,6,148,15943769,http://stackoverflow.com/questions/15943769/how-to-get-row-count-of-pandas-dataframe,how to get row count of pandas dataframe?,1365668048,0
213216,74159,67,35,12,registered,user7289,http://stackoverflow.com/users/213216/user7289,3427,"['python', 'csv', 'pandas', 'dataframe']",True,148240,2,125,16923281,http://stackoverflow.com/questions/16923281/pandas-writing-dataframe-to-csv-file,Pandas writing dataframe to CSV file,1370364416,1
